time,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
163,1,FOLLOW,21.6485795831921,113.33320001214949,17024.16609205789,220.0,310.0,395.2393103585936,0.6364204395657174,-2724.9689499341694,50932.1245812622,67.87541873783039,0.0,17150.980261278663,0.0,59186.98928029447,0.8303486341832749,12277.262248784906,7,1,2
164,0,HEAD,21.709612328235085,113.69667303037589,24087.17368567907,150.0,285.7666216322343,406.0888406359653,0.6719151601600988,3594.3389371476596,50856.10175491348,143.8982450864712,0.0,23954.56027699656,0.0,50869.32897280076,1.063975411184022,91829.09575388295,5,2,1
164,1,FOLLOW,21.647178803630922,113.33202461853635,16978.7740197617,220.0,310.0,394.9749755798097,0.6358820351572305,-2723.5243377714983,50932.124445146685,67.87555485334673,0.0,17105.522405432228,0.0,59195.36647079793,0.8305605198759262,12291.077826890325,7,1,2
165,0,HEAD,21.707984566744884,113.69761281891043,24146.972546245343,150.0,285.4124768554618,405.9886469227396,0.6719151601600988,3587.9316339762395,50855.0003092592,144.99969074074988,0.0,24014.5949250408,0.0,50764.81895488481,1.063975411184022,91660.78642247678,5,2,1
165,1,FOLLOW,21.645778960255257,113.33085001047613,16933.406020879873,220.0,310.0,394.7110012476774,0.6353444812036313,-2722.079932909609,50932.12430895772,67.87569104231613,0.0,17060.088627615813,0.0,59203.72520476307,0.8307720794624638,12304.884307036384,7,1,2
166,0,HEAD,21.70635720635184,113.69855237587142,24206.66438387006,150.0,285.0591882492374,405.8886071490406,0.6719151601600988,3581.5102574829107,50853.90095881518,146.0990411847724,0.0,24074.523073643908,0.0,50660.78363056445,1.063975411184022,91492.74922431684,5,2,1
166,1,FOLLOW,21.644380051788662,113.32967618689776,16888.062091884567,220.0,310.0,394.4473868306836,0.63480777614683,-2720.6357397183006,50932.12417269534,67.87582730469963,0.0,17014.678924520173,0.0,59212.065526598846,0.8309833132890054,12318.68169309555,7,1,2
167,0,HEAD,21.704730246436718,113.69949170161637,24266.248967395753,150.0,284.70675609504224,405.78872182126275,0.6719151601600988,3575.075011541805,50852.80369990585,147.19630009410335,0.0,24134.344484117322,0.0,50557.22161399702,1.063975411184022,91324.98496799618,5,2,1
167,1,FOLLOW,21.64298207695658,113.32850314673176,16842.742229175423,220.0,310.0,394.1841317976086,0.6342719184310002,-2719.191762548567,50932.12403635958,67.87596364045824,0.0,16969.293292762613,0.0,59220.38748062608,0.8311942217026623,12332.46998896042,7,1,2
168,0,HEAD,21.703103686378277,113.70043079650397,24325.72606905016,150.0,284.3551806515474,405.68899144043525,0.6719151601600988,3568.626099264514,50851.70852884699,148.29147115296394,0.0,24194.058921185493,0.0,50454.1315153959,1.063975411184022,91157.49445272476,5,2,1
168,1,FOLLOW,21.641585034486344,113.32733088891025,16797.44642907988,220.0,310.0,393.9212356175285,0.6337369065025771,-2717.748005732578,50932.123899950486,67.87610004955302,0.0,16923.93172888745,0.0,59228.6911110767,0.8314048050515311,12346.249198543577,7,1,2
169,0,HEAD,21.70147752555329,113.70136966089402,24385.0954644334,150.0,284.004462154774,405.58941650223466,0.6719151601600988,3562.1637229945445,50850.61544194584,149.38455805411223,0.0,24253.666152973583,0.0,50351.51194113551,1.063975411184022,90990.27846835522,5,2,1
169,1,FOLLOW,21.640188923107157,113.32615941236689,16752.174687853483,220.0,310.0,393.6586977598231,0.6332027388102586,-2716.3044735836606,50932.123763468095,67.876236531945,0.0,16878.594229366332,0.0,59236.976462093124,0.8316150636846829,12360.019325777506,7,1,2
