timestep,timestamp,id,callsign,lat,long,alt,cas,tas,mach,vs,heading,bank_angle,mass,fuel_consumed,thrust,drag,esf,accel,ap_track_angle,ap_heading,ap_nav_index,ap_dist_to_next_fix,trans_alt,flight_phase,configuration,speed_mode,vertical_mode,ap_speed_mode,ap_lateral_mode
779,2022-04-21T09:28:29,0,FULL,21.778001070724844,113.97151181111012,23830.00658638776,120.93582314012517,181.82446928846988,0.2906413378883677,925.9108945193308,150.80959439753804,-15.0,62321.194188153575,951.8058118464198,86368.87152243766,53843.003651461215,1.0106302417247643,0.0,85.8549162890456,85.8549162890456,3,30.97994402881744,23799.099639486307,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
780,2022-04-21T09:28:30,0,FULL,21.77727201904357,113.972047168494,23845.39402563347,120.89583739600282,181.82446928846988,0.2906413378883677,923.246354742651,149.2000426251928,-15.0,62320.31773724363,952.6822627563608,86302.14796073169,53866.178702420926,1.010628878646738,0.0,85.69579835617446,85.69579835617446,3,30.93299171741637,23814.57603503272,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
781,2022-04-21T09:28:31,0,FULL,21.77655535945157,113.97260266520342,23860.73719387681,120.85597461739928,181.82446928846983,0.2906413378883677,920.5900946004272,147.59049085284755,-15.0,62319.4419617708,953.5580382291934,86235.6391892824,53889.30964970856,1.01062751949497,0.0,85.53833102825229,85.53833102825229,3,30.884068151235592,23830.007883103142,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
782,2022-04-21T09:28:32,0,FULL,21.775851652738588,113.97317794521985,23876.036228627097,120.8162343783098,181.82446928846988,0.2906413378883677,917.9420850171416,145.9809390805023,-15.0,62318.56685956178,954.4331404382054,86169.34441658923,53912.396504199685,1.0106261642572398,0.0,85.38261330239925,85.38261330239925,3,30.83319483410163,23845.39532217775,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
783,2022-04-21T09:28:33,0,FULL,21.77516144947314,113.97377263691357,23891.29126691112,120.77661625447188,181.82446928846988,0.2906413378883677,915.3022970412812,144.37138730815707,-15.0,62317.69242845131,955.3075715486816,86103.26285459708,53935.43927728626,1.0106248129213704,0.0,85.22874423150142,85.22874423150142,3,30.78039445434303,23860.73849025026,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
784,2022-04-21T09:28:34,0,FULL,21.77448528956808,113.97438635333694,23906.5024452752,120.73711982335222,181.82446928846988,0.2906413378883677,912.6707018446784,142.76183553581183,-15.0,62316.81866628205,956.1813337179384,86037.39371867808,53958.437980871975,1.0106234654752266,0.0,85.07682291350955,85.07682291350955,3,30.725690887013428,23876.0375248306,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
785,2022-04-21T09:28:35,0,FULL,21.773823701854543,113.97501869252984,23921.669899787223,120.69774466414188,181.82446928846988,0.2906413378883677,910.0472707218528,141.15228376346658,-15.0,62315.94557090463,957.054429095358,85971.73622761387,53981.39262736833,1.010622121906717,0.0,84.92694847900168,84.92694847900168,3,30.669109196096155,23891.292562945546,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
786,2022-04-21T09:28:36,0,FULL,21.77317720366465,113.97566923783674,23936.793766038714,120.65849035774104,181.82446928846988,0.2906413378883677,907.4319750893486,139.54273199112134,-15.0,62315.07314017756,957.9268598224236,85906.28960357775,54004.303229690566,1.0106207822037925,0.0,84.77922007692138,84.77922007692138,3,30.610675636679165,23906.50374114009,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
787,2022-04-21T09:28:37,0,FULL,21.77254630042325,113.97633755823551,23951.8741791468,120.61935648675605,181.82446928846988,0.2906413378883677,904.8247864850752,137.9331802187761,-15.0,62314.20137196723,958.7986280327532,85841.05307211705,54027.16980125391,1.010619446354445,0.0,84.63373685831942,84.63373685831942,3,30.55041765706839,23921.671195483494,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
788,2022-04-21T09:28:38,0,FULL,21.771931485249123,113.97702320867764,23966.91127375626,120.5803426354902,181.82446928846988,0.2906413378883677,902.2256765676696,136.32362844643086,-15.0,62313.33026414785,959.6697358521344,85776.02586213552,54049.99235596917,1.0106181143467097,0.0,84.49059795800645,84.49059795800645,3,30.488363900807983,23936.795061567005,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
