timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
828,2022-03-22T09:25:55,0,HEAD,22.440926111317022,113.85536646984043,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67392.93444503272,607.0655549673221,0.0,30000.001264552626,0.0,47086.25585995047,0.8166428710826028,47086.25585995047,6.0,1,2
829,2022-03-22T09:25:56,0,HEAD,22.442748202751265,113.85516482093377,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67392.399091845,607.6009081550469,0.0,30000.001264552626,0.0,47086.06280982878,0.8166428710826028,47086.06280982878,6.0,1,2
830,2022-03-22T09:25:57,0,HEAD,22.444570294185503,113.85496317202706,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67391.86374085216,608.1362591478812,0.0,30000.001264552626,0.0,47085.86976203209,0.8166428710826028,47085.86976203209,6.0,1,2
831,2022-03-22T09:25:58,0,HEAD,22.446392385619745,113.85476152312036,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67391.32839205419,608.6716079458514,0.0,30000.001264552626,0.0,47085.67671656041,0.8166428710826028,47085.67671656041,6.0,1,2
832,2022-03-22T09:25:59,0,HEAD,22.44821447705398,113.85455987421366,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67390.79304545105,609.206954548984,0.0,30000.001264552626,0.0,47085.48367341371,0.8166428710826028,47085.48367341371,6.0,1,2
833,2022-03-22T09:26:00,0,HEAD,22.45003656848822,113.85435822530695,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67390.25770104273,609.7422989573053,0.0,30000.001264552626,0.0,47085.29063259194,0.8166428710826028,47085.29063259194,6.0,1,2
834,2022-03-22T09:26:01,0,HEAD,22.451858659922458,113.85415657640029,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67389.7223588292,610.2776411708418,0.0,30000.001264552626,0.0,47085.097594095096,0.8166428710826028,47085.097594095096,6.0,1,2
835,2022-03-22T09:26:02,0,HEAD,22.453680751356696,113.85395492749358,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67389.18701881042,610.8129811896199,0.0,30000.001264552626,0.0,47084.90455792311,0.8166428710826028,47084.90455792311,6.0,1,2
836,2022-03-22T09:26:03,0,HEAD,22.45550284279093,113.85375327858688,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67388.65168098638,611.3483190136661,0.0,30000.001264552626,0.0,47084.71152407599,0.8166428710826028,47084.71152407599,6.0,1,2
837,2022-03-22T09:26:04,0,HEAD,22.457324934225174,113.85355162968018,30000.0,353.6848356976109,251.5266579412352,395.97457196879225,0.6719151601600971,0.0,67388.11634535705,611.8836546430068,0.0,30000.001264552626,0.0,47084.5184925537,0.8166428710826028,47084.5184925537,6.0,1,2
