timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode,ap_track_angle,ap_heading,ap_nav_index
205,2022-03-28T06:46:00,1,FOLLOW,21.59008833813575,113.2841200299955,15556.094387995568,220.0,310.0,386.7697076909101,0.6191770080066868,-2345.792196805145,67913.13866410717,86.86133589279092,0.0,15665.295433323545,0.0,62870.77404599621,0.8371627934376351,12724.864981757932,6.0,1,2,-81.00093775247902,220.0,20
206,2022-03-28T06:46:01,1,FOLLOW,21.58871744403544,113.28296971326156,15517.016256041858,220.0,310.0,386.54823271295766,0.6187290892071228,-2344.687917222691,67912.99480149744,87.00519850252334,0.0,15626.166897275994,0.0,62877.11186780864,0.8373391683081334,12736.708631236108,6.0,1,2,-81.00196289934864,220.0,20
207,2022-03-28T06:46:02,1,FOLLOW,21.58734733446152,113.2818200548234,15477.956523708524,220.0,310.0,386.3270213963781,0.6182817853148117,-2343.5839400000004,67912.85082749583,87.14917250413684,0.0,15587.05677188652,0.0,62883.43760446301,0.8375153018133927,12748.545390721976,6.0,1,2,-81.0029874024077,220.0,20
208,2022-03-28T06:46:03,1,FOLLOW,21.58597800848017,113.28067105389748,15438.915185924709,220.0,310.0,386.1060733840086,0.617835095317253,-2342.480267029009,67912.70674219495,87.29325780502445,0.0,15547.965052180753,0.0,62889.751281338446,0.8376911942107829,12760.375263598677,6.0,1,2,-81.00401126245185,220.0,20
209,2022-03-28T06:46:04,1,FOLLOW,21.584609465158863,113.27952270970134,15399.892237588148,220.0,310.0,385.88538831897233,0.6173890182034321,-2341.3769001936507,67912.56254568728,87.43745431269146,0.0,15508.891733152272,0.0,62896.05292376827,0.837866845758035,12772.19825325735,6.0,1,2,-81.00503448027558,220.0,20
210,2022-03-28T06:46:05,1,FOLLOW,21.583241703566312,113.27837502145348,15360.887673565316,220.0,310.0,385.66496584468126,0.6169435529638171,-2340.273841369805,67912.41823806522,87.58176193475526,0.0,15469.83680976335,0.0,62902.34255703911,0.8380422567132354,12784.014363097083,6.0,1,2,-81.00605705667225,220.0,20
211,2022-03-28T06:46:06,1,FOLLOW,21.581874722772504,113.27722798837355,15321.90148869156,220.0,310.0,385.4448056048374,0.6164986985903607,-2339.1710924253607,67912.27381942103,87.72618057894528,0.0,15430.800276944436,0.0,62908.62020639143,0.838217427334824,12795.823596524882,6.0,1,2,-81.00707899243405,220.0,20
212,2022-03-28T06:46:07,1,FOLLOW,21.580508521848685,113.27608160968228,15282.933677771223,220.0,310.0,385.224907243432,0.6160544540764998,-2338.06865522021,67912.12928984687,87.87071015310278,0.0,15391.782129594774,0.0,62914.885897019405,0.8383923578815877,12807.6259569556,6.0,1,2,-81.00810028835203,220.0,20
213,2022-03-28T06:46:08,1,FOLLOW,21.57914309986737,113.27493588460136,15243.984235577786,220.0,310.0,385.0052704047511,0.6156108184171536,-2336.966531606238,67911.98464943479,88.01535056518081,0.0,15352.782362582357,0.0,62921.139654070445,0.8385670486126571,12819.421447811908,6.0,1,2,-81.00912094521607,220.0,20
214,2022-03-28T06:46:09,1,FOLLOW,21.577778455902315,113.27379081235358,15205.053156853995,220.0,310.0,384.7858947333705,0.6151677906087285,-2335.8647234274345,67911.83989827672,88.16010172324404,0.0,15313.800970743718,0.0,62927.38150264655,0.8387414997875046,12831.210072524264,6.0,1,2,-81.01014096381493,220.0,20
215,2022-03-28T06:46:10,1,FOLLOW,21.576414589028563,113.27264639216284,15166.140436312,220.0,310.0,384.5667798741629,0.61472536964911,-2334.7632325197656,67911.6950364645,88.30496353546863,0.0,15274.83794888504,0.0,62933.61146780248,0.8389157116659346,12842.991834530836,6.0,1,2,-81.01116034493619,220.0,20
216,2022-03-28T06:46:11,1,FOLLOW,21.575051498322395,113.27150262325404,15127.246068633478,220.0,310.0,384.347925472295,0.6142835545376703,-2333.6620607113305,67911.55006408982,88.44993591014213,0.0,15235.893291780922,0.0,62939.829574547446,0.8390896845080867,12854.76673727749,6.0,1,2,-81.01217908936633,220.0,20
217,2022-03-28T06:46:12,1,FOLLOW,21.57368918286136,113.27035950485312,15088.370048469773,220.0,310.0,384.1293311732304,0.6138423442752639,-2332.561209822271,67911.4049812443,88.59501875566333,0.0,15196.966994175846,0.0,62946.03584784397,0.8392634185744247,12866.53478421772,6.0,1,2,-81.01319719789062,220.0,20
218,2022-03-28T06:46:13,1,FOLLOW,21.57232764172425,113.26921703618716,15049.512370442026,220.0,310.0,383.9109966227298,0.6134017378642277,-2331.460681664851,67911.25978801942,88.74021198054216,0.0,15158.059050783324,0.0,62952.23031260854,0.8394369141257375,12878.295978812626,6.0,1,2,-81.01421467129326,220.0,20
219,2022-03-28T06:46:14,1,FOLLOW,21.57096687399113,113.26807521648418,15010.673029141302,220.0,310.0,383.6929214668535,0.6129617343083817,-2330.360478043433,67911.11448450657,88.88551549339954,0.0,15119.16945628662,0.0,62958.41299371113,0.8396101714231322,12890.05032453085,6.0,1,2,-81.01523151035725,220.0,20
220,2022-03-28T06:46:15,1,FOLLOW,21.56960687874331,113.26693404497333,14971.852019128726,220.0,310.0,383.4751053519609,0.6125223326130288,-2329.260600754533,67910.969070797,89.0309292029673,0.0,15080.298205338506,0.0,62964.58391597586,0.8397831907280316,12901.797824848549,6.0,1,2,-81.01624771586448,220.0,20
221,2022-03-28T06:46:16,1,FOLLOW,21.568247655063352,113.26579352088478,14933.049334935611,220.0,310.0,383.2575479247128,0.6120835317849541,-2328.1610515867937,67910.82354698188,89.176453018088,0.0,15041.445292561692,0.0,62970.743104180285,0.8399559723021693,12913.538483249327,6.0,1,2,-81.0172632885957,220.0,20
222,2022-03-28T06:46:17,1,FOLLOW,21.56688920203507,113.26465364344978,14894.264971063596,220.0,310.0,383.04024883207086,0.6116453308324249,-2327.0618323210406,67910.67791315225,89.32208684771483,0.0,15002.61071254873,0.0,62976.89058305605,0.8401285164075859,12925.272303224228,6.0,1,2,-81.01827822933049,220.0,20
223,2022-03-28T06:46:18,1,FOLLOW,21.565531518743533,113.2635144119006,14855.49892198476,220.0,310.0,382.823207721302,0.611207728765189,-2325.962944730248,67910.53216939906,89.4678306009115,0.0,14963.794459862258,0.0,62983.02637728819,0.8403008233066253,12936.999288271669,6.0,1,2,-81.01929253884735,220.0,20
224,2022-03-28T06:46:19,1,FOLLOW,21.56417460427506,113.26237582547056,14816.751182141765,220.0,310.0,382.6064242399742,0.610770724594479,-2324.8643905796284,67910.38631581311,89.61368418685208,0.0,14924.996529035136,0.0,62989.15051151614,0.8404728932619296,12948.719441897378,6.0,1,2,-81.02030621792356,220.0,20
225,2022-03-28T06:46:20,1,FOLLOW,21.56281845771721,113.26123788339405,14778.021745947988,220.0,310.0,382.3898980359634,0.6103343173330044,-2323.766171626555,67910.24035248514,89.75964751482093,0.0,14886.216914570732,0.0,62995.26301033256,0.8406447265364365,12960.432767614402,6.0,1,2,-81.02131926733536,220.0,20
226,2022-03-28T06:46:21,1,FOLLOW,21.5614630781588,113.26010058490648,14739.310607787644,220.0,310.0,382.1736287574495,0.6098985059949591,-2322.668289620671,67910.09427950575,89.90572049421249,0.0,14847.455610942516,0.0,63001.36389828444,0.8408163233933751,12972.139268943014,6.0,1,2,-81.0223316878578,220.0,20
227,2022-03-28T06:46:22,1,FOLLOW,21.560108464689893,113.25896392924432,14700.617762015912,220.0,310.0,381.9576160529211,0.6094632895960151,-2321.5707463038307,67909.94809696543,90.05190303453125,0.0,14808.712612594703,0.0,63007.4531998723,0.8409876840962618,12983.838949410692,6.0,1,2,-81.02334348026481,220.0,20
228,2022-03-28T06:46:23,1,FOLLOW,21.55875461640179,113.25782791564512,14661.943202959075,220.0,310.0,381.7418595711753,0.609028667153327,-2320.473543410164,67909.80180495456,90.19819504539156,0.0,14769.987913942285,0.0,63013.5309395507,0.8411588089088956,12995.53181255208,6.0,1,2,-81.02435464532918,220.0,20
229,2022-03-28T06:46:24,1,FOLLOW,21.55740153238704,113.25669254334738,14623.286924914642,220.0,310.0,381.5263589613164,0.6085946376855291,-2319.37668266609,67909.65540356343,90.34459643651752,0.0,14731.281509371078,0.0,63019.59714172835,0.8413296980953554,13007.21786190894,6.0,1,2,-81.02536518382259,220.0,20
230,2022-03-28T06:46:25,1,FOLLOW,21.55604921173944,113.25555781159076,14584.648922151471,220.0,310.0,381.3111138727606,0.6081612002127325,-2318.2801657902755,67909.50889288221,90.4911071177429,0.0,14692.593393237872,0.0,63025.65183076727,0.8415003519199955,13018.89710103009,6.0,1,2,-81.02637509651558,220.0,20
231,2022-03-28T06:46:26,1,FOLLOW,21.554697653554022,113.25442371961584,14546.02918890991,220.0,310.0,381.096123955236,0.6077283537565298,-2317.1839944937265,67909.36227300094,90.63772699901092,0.0,14653.923559870547,0.0,63031.69503098389,0.8416707706474411,13030.569533471404,6.0,1,2,-81.02738438417755,220.0,20
232,2022-03-28T06:46:27,1,FOLLOW,21.553346856927064,113.25329026666437,14507.427719401914,220.0,310.0,380.8813888587809,0.6072960973399939,-2316.088170479786,67909.21554400958,90.7844559903742,0.0,14615.272003568098,0.0,63037.72676664871,0.8418409545425872,13042.23516279573,6.0,1,2,-81.02839304757681,220.0,20
233,2022-03-28T06:46:28,1,FOLLOW,21.551996820956084,113.25215745197904,14468.84450781118,220.0,310.0,380.6669082337477,0.6068644299876724,-2314.9926954440944,67909.06870599795,90.93129400199464,0.0,14576.63871860124,0.0,63043.74706198571,0.8420109038705901,13053.893992572865,6.0,1,2,-81.02940108748052,220.0,20
234,2022-03-28T06:46:29,1,FOLLOW,21.550647544739835,113.25102527480364,14430.279548293269,220.0,310.0,380.4526817308047,0.6064333507255927,-2313.8975710746668,67908.92175905581,91.07824094414325,0.0,14538.023699211792,0.0,63049.75594117305,0.8421806188968683,13065.546026379505,6.0,1,2,-81.03040850465473,220.0,20
